GeoID,Years,GeoType,TotalPop,PctRural,PctAge65plus,PctMinority,PctHispanic,PctBlackNH,PctAPINH,Pct_forborn,PctDisabled,PctEducLHS,PctEducBchPlus,Pct100Pov,PctNoHealthIns,N_BINGE,N_CSMOKING,N_LPA,N_OBESITY,N_CERVICAL,N_MAMMOUSE,N_COLON_SCREEN,N_COREM,N_COREW,N_CHECKUP,RPL_EJI,RPL_SVI
34023,05yrs,County,809858,0.67,14.6771381,50.77,18.4,8.84,21.32,31.89,5.99,11.2,41,8.83,11.5,14.04432098,11.67781537,22.24811918,28.98183311,82.63677892,77.02166479,65.98933381,42.11268247,35.1818946,74.01511549,0.5,0.55
34023,10yrs,County,809858,0.67,14.6771381,50.77,18.4,8.84,21.32,31.89,5.99,11.2,41,8.83,11.5,14.04432098,11.67781537,22.24811918,28.98183311,82.63677892,77.02166479,65.98933381,42.11268247,35.1818946,74.01511549,0.5,0.55
34025,01yr,County,630380,3.73,17.14912801,23.31,9.67,6.97,4.95,13.3,6.86,7.3,42.5,7.47,9.1,17.22416334,12.68467806,20.76516425,27.95032886,85.42027765,74.37637508,69.49234855,38.64447145,35.12294875,74.35506057,0.15,0.3
34025,05yrs,County,630380,3.73,17.14912801,23.31,9.67,6.97,4.95,13.3,6.86,7.3,42.5,7.47,9.1,17.22416334,12.68467806,20.76516425,27.95032886,85.42027765,74.37637508,69.49234855,38.64447145,35.12294875,74.35506057,0.15,0.3
34025,10yrs,County,630380,3.73,17.14912801,23.31,9.67,6.97,4.95,13.3,6.86,7.3,42.5,7.47,9.1,17.22416334,12.68467806,20.76516425,27.95032886,85.42027765,74.37637508,69.49234855,38.64447145,35.12294875,74.35506057,0.15,0.3
34027,01yr,County,492276,6.77,16.72214322,24.93,11.47,2.87,8.92,18.79,4.85,6.2,51,4.5,7.5,17.81848394,11.13757404,18.69598802,25.58785966,85.00746309,78.28356064,73.1621507,41.62253065,39.61144907,73.34999777,0.25,0.15
34027,05yrs,County,492276,6.77,16.72214322,24.93,11.47,2.87,8.92,18.79,4.85,6.2,51,4.5,7.5,17.81848394,11.13757404,18.69598802,25.58785966,85.00746309,78.28356064,73.1621507,41.62253065,39.61144907,73.34999777,0.25,0.15
34027,10yrs,County,492276,6.77,16.72214322,24.93,11.47,2.87,8.92,18.79,4.85,6.2,51,4.5,7.5,17.81848394,11.13757404,18.69598802,25.58785966,85.00746309,78.28356064,73.1621507,41.62253065,39.61144907,73.34999777,0.25,0.15
34029,01yr,County,576567,2.9,22.44819295,14.05,8.29,2.88,1.74,7.93,9.66,9.5,26.9,11.25,8.5,15.32308082,13.70836199,25.93007054,31.66086659,84.11033403,72.77097896,68.93993593,40.44122825,32.92138681,73.1139725,0.35,0.45
34029,05yrs,County,576567,2.9,22.44819295,14.05,8.29,2.88,1.74,7.93,9.66,9.5,26.9,11.25,8.5,15.32308082,13.70836199,25.93007054,31.66086659,84.11033403,72.77097896,68.93993593,40.44122825,32.92138681,73.1139725,0.35,0.45
34029,10yrs,County,576567,2.9,22.44819295,14.05,8.29,2.88,1.74,7.93,9.66,9.5,26.9,11.25,8.5,15.32308082,13.70836199,25.93007054,31.66086659,84.11033403,72.77097896,68.93993593,40.44122825,32.92138681,73.1139725,0.35,0.45
34031,01yr,County,501226,2.41,14.27597238,54.68,37.04,11.07,4.91,28.29,6.56,17.7,26,16.66,16.4,16.18160451,14.14300515,32.23653123,31.52749518,81.40212918,74.45473459,65.95421487,38.33771313,28.7996323,73.58127451,0.95,0.85
34031,05yrs,County,501226,2.41,14.27597238,54.68,37.04,11.07,4.91,28.29,6.56,17.7,26,16.66,16.4,16.18160451,14.14300515,32.23653123,31.52749518,81.40212918,74.45473459,65.95421487,38.33771313,28.7996323,73.58127451,0.95,0.85
34031,10yrs,County,501226,2.41,14.27597238,54.68,37.04,11.07,4.91,28.29,6.56,17.7,26,16.66,16.4,16.18160451,14.14300515,32.23653123,31.52749518,81.40212918,74.45473459,65.95421487,38.33771313,28.7996323,73.58127451,0.95,0.85
34033,01yr,County,66083,45.3,18.31419908,23.22,6.82,13.53,0.84,5.24,13.21,13.6,20.3,13.49,9.6,16.25296218,17.73163597,29.58335578,36.06304345,82.17825916,74.39782244,68.23644508,47.14223779,31.02699181,75.89984111,0.85,0.6
34033,05yrs,County,66083,45.3,18.31419908,23.22,6.82,13.53,0.84,5.24,13.21,13.6,20.3,13.49,9.6,16.25296218,17.73163597,29.58335578,36.06304345,82.17825916,74.39782244,68.23644508,47.14223779,31.02699181,75.89984111,0.85,0.6
34033,10yrs,County,66083,45.3,18.31419908,23.22,6.82,13.53,0.84,5.24,13.21,13.6,20.3,13.49,9.6,16.25296218,17.73163597,29.58335578,36.06304345,82.17825916,74.39782244,68.23644508,47.14223779,31.02699181,75.89984111,0.85,0.6
34035,01yr,County,323444,5.79,15.27159363,37.59,13.01,8.5,14.08,24.19,5.1,5.9,52.5,5.04,8,15.99797801,10.70349705,20.71476237,26.51914118,85.27262339,76.17347423,69.07592474,37.04634496,36.33749552,73.53871768,0.1,0.1
34035,05yrs,County,323444,5.79,15.27159363,37.59,13.01,8.5,14.08,24.19,5.1,5.9,52.5,5.04,8,15.99797801,10.70349705,20.71476237,26.51914118,85.27262339,76.17347423,69.07592474,37.04634496,36.33749552,73.53871768,0.1,0.1
34035,10yrs,County,323444,5.79,15.27159363,37.59,13.01,8.5,14.08,24.19,5.1,5.9,52.5,5.04,8,15.99797801,10.70349705,20.71476237,26.51914118,85.27262339,76.17347423,69.07592474,37.04634496,36.33749552,73.53871768,0.1,0.1
34037,01yr,County,149265,39.85,16.72825074,11.24,6.44,1.64,1.76,7.75,7.58,6.1,33.8,5.7,8,19.5180069,13.36540582,21.063605,32.8119452,84.95407363,74.41366295,68.25312699,36.38777074,34.43926507,75.09345794,0,0.05
34037,05yrs,County,149265,39.85,16.72825074,11.24,6.44,1.64,1.76,7.75,7.58,6.1,33.8,5.7,8,19.5180069,13.36540582,21.063605,32.8119452,84.95407363,74.41366295,68.25312699,36.38777074,34.43926507,75.09345794,0,0.05
34037,10yrs,County,149265,39.85,16.72825074,11.24,6.44,1.64,1.76,7.75,7.58,6.1,33.8,5.7,8,19.5180069,13.36540582,21.063605,32.8119452,84.95407363,74.41366295,68.25312699,36.38777074,34.43926507,75.09345794,0,0.05
